Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date,Custom field (Patch Info)
Bug,FLINK-13887,13253607,Ensure defaultInputDependencyConstraint to be non-null when setting it in ExecutionConfig,zhuzh,zhuzh,Major,Closed,Fixed,29/Aug/19 02:51,02/Oct/19 17:48,,
Bug,SPARK-28906,13253587,`bin/spark-submit --version` shows incorrect info,kiszk,vanzin,Minor,Resolved,Fixed,28/Aug/19 23:25,11/Sep/19 15:09,,
Bug,SPARK-28903,13253548,Fix AWS JDK version conflict that breaks Pyspark Kinesis tests,srowen,srowen,Major,Resolved,Fixed,28/Aug/19 17:11,09/Sep/19 12:43,,
Bug,HBASE-22943,13253535,Various procedures should not cache log trace level,busbey,busbey,Minor,Resolved,Fixed,28/Aug/19 16:21,03/Sep/19 05:31,,
Bug,HBASE-22941,13253532,MetaTableAccessor.getMergeRegions() returns parent regions in random order,stoty,stoty,Major,Resolved,Fixed,28/Aug/19 15:44,11/Aug/20 18:12,,
Bug,IGNITE-12119,13253518,Peer Class Loading has no retries,ibessonov,ibessonov,Major,Resolved,Fixed,28/Aug/19 14:25,19/Sep/19 08:03,,
Bug,KAFKA-8842,13253486,Reading/Writing confused in Connect QuickStart Guide,Chilio,frvabe,Trivial,Resolved,Fixed,28/Aug/19 12:07,22/Mar/20 05:06,,
Bug,FLINK-13880,13253401,The behavior of JobExecutionResult.getAccumulatorResult does not match its java doc,TsReaper,TsReaper,Major,Resolved,Fixed,28/Aug/19 05:34,15/Apr/20 07:33,,
Bug,ZEPPELIN-4313,13253394,OpenID/Keycloak Integration Issues,,prasus,Minor,Closed,Fixed,28/Aug/19 04:16,29/Aug/19 07:09,,
Bug,HBASE-22937,13253393,The RawBytesComparator in branch-1 have wrong comparison order,openinx,openinx,Major,Resolved,Fixed,28/Aug/19 04:00,05/Sep/19 23:58,,
Bug,HBASE-22935,13253361,TaskMonitor warns MonitoredRPCHandler task may be stuck when it recently started,dmanning,dmanning,Minor,Resolved,Fixed,27/Aug/19 23:42,02/Oct/19 11:59,,
Bug,SPARK-28886,13253314,Kubernetes DepsTestsSuite fails on OSX with minikube 1.3.1 due to formatting,holden,holden,Minor,Resolved,Fixed,27/Aug/19 18:15,17/May/20 18:23,,
Bug,IGNITE-12113,13253292,control.sh terminates silently when JAVA_HOME is not set,agoncharuk,agoncharuk,Major,Resolved,Fixed,27/Aug/19 16:20,15/Jul/20 10:34,,
Bug,FLINK-13875,13253275,Add missing redirects to the flink documentation,sjwiesman,sjwiesman,Major,Resolved,Fixed,27/Aug/19 14:45,28/Aug/19 16:15,,
Bug,HIVE-22149,13253240,Metastore: Unify codahale metrics.log json structure between hiveserver2 and metastore services,abstractdog,abstractdog,Major,Resolved,Fixed,27/Aug/19 11:26,09/Sep/19 08:41,,
Bug,IGNITE-12110,13253226, Bugs & tests fixes,sergey-chugunov,DmitriyGovorukhin,Major,Resolved,Fixed,27/Aug/19 09:56,09/Dec/19 10:46,,
Bug,HBASE-22929,13253213,MemStoreLAB  ChunkCreator may memory leak,ram_krish,chenyechao,Major,Resolved,Fixed,27/Aug/19 08:35,13/Sep/19 11:39,,
Bug,HBASE-22928,13253206,ScanMetrics counter update may not happen in case of exception in TableRecordReaderImpl,pankaj2461,pankaj2461,Minor,Resolved,Fixed,27/Aug/19 08:08,02/Sep/19 17:36,,
Bug,HIVE-22148,13253203,S3A delegation tokens are not added in the job config of the Compactor.,harishjp,harishjp,Major,Resolved,Fixed,27/Aug/19 08:02,29/Aug/19 10:43,,
Bug,FLINK-13869,13253199,Hive functions can not work in blink planner stream mode,lzljs3620320,Terry1897,Major,Resolved,Fixed,27/Aug/19 07:48,30/Oct/19 12:19,,
Bug,KAFKA-8837,13253130,Several integration tests incorrectly use verifyNonDaemonThreadsStatus,anastasiavela,apovzner,Major,Resolved,Fixed,26/Aug/19 20:43,28/Aug/19 05:32,,
Bug,IGNITE-12107,13253126,Docs: request setting IGNITE_HOME to permanent location in Docker,Artem Budnikov,dmagda,Blocker,Closed,Fixed,26/Aug/19 20:30,30/Aug/19 18:17,,
Bug,IGNITE-12106,13253124,Rework ignite binary metadata exception for ease of troubleshooting,agoncharuk,dmagda,Blocker,Resolved,Fixed,26/Aug/19 20:20,10/Sep/19 07:44,,
Bug,AMQ-7291,13253119,Message body is read-only exception when setting property on Bytes message ,jbonofre,jeqo,Major,Resolved,Fixed,26/Aug/19 19:29,21/May/20 09:44,,
Bug,FLINK-13862,13253040,Update Execution Plan docs,chesnay,sewen,Minor,Closed,Fixed,26/Aug/19 13:42,29/Jan/20 08:59,,
Bug,HDFS-14777,13253038,RBF: Set ReadOnly is failing for mount Table but actually readonly succeed to set,RANith,RANith,Major,Resolved,Fixed,26/Aug/19 13:36,21/Sep/19 04:37,,
Bug,SPARK-28876,13253036,fallBackToHdfs should not support Hive partitioned table,yumwang,yumwang,Major,Resolved,Fixed,26/Aug/19 13:26,27/Aug/19 13:39,,
Bug,IGNITE-12103,13252984,Change the default ignite work directory once again to avoid writing to ~/work,ilyak,ilyak,Blocker,Resolved,Fixed,26/Aug/19 09:11,24/Sep/20 12:55,,
Bug,FLINK-13853,13252967,"Running HA (file, async) end-to-end test failed on Travis",trohrmann,trohrmann,Critical,Closed,Fixed,26/Aug/19 08:23,27/Aug/19 07:38,,
Bug,HBASE-22922,13252963,Only the two first regions are locked in MergeTableRegionsProcedure,stoty,stoty,Major,Resolved,Fixed,26/Aug/19 08:21,02/Sep/19 09:03,,
Bug,FLINK-13849,13252913,The back-pressure monitoring tab in Web UI may cause errors,,xccui,Minor,Closed,Fixed,26/Aug/19 05:57,14/Apr/21 23:04,,
Bug,CASSANDRA-15293,13252909,Static columns not include in mutation size calculation,,VincentWhite,Low,Resolved,Fixed,26/Aug/19 04:08,15/May/20 08:55,,
Bug,CASSANDRA-15292,13252902,Point-in-time recovery ignoring timestamp of static column updates,,VincentWhite,Normal,Resolved,Fixed,26/Aug/19 02:36,15/May/20 08:53,,
Bug,SPARK-28868,13252894,Specify Jekyll version to 3.8.6 in release docker image,dongjoon,dongjoon,Blocker,Resolved,Fixed,25/Aug/19 20:13,25/Aug/19 22:39,,
Bug,KAFKA-8832,13252850,We should limit the maximum size read by a fetch request on the kafka server.,,LordChen,Major,Resolved,Fixed,25/Aug/19 07:24,16/Jan/20 22:14,,
Bug,ZOOKEEPER-3518,13252838,owasp check flagging jackson-databind 2.9.9.1,phunt,phunt,Blocker,Closed,Fixed,25/Aug/19 01:50,16/Oct/19 18:58,,
Bug,IGNITE-12101,13252741,IgniteQueue.removeAll throws NPE,slava.koptilin,dmagda,Major,Resolved,Fixed,23/Aug/19 19:34,17/Apr/20 09:26,,
Bug,CAMEL-13904,13252731,JMX - Early registered services may not be enlisted in XML DSL,davsclaus,davsclaus,Major,Resolved,Fixed,23/Aug/19 18:33,23/Aug/19 20:03,,
Bug,CASSANDRA-15289,13252723,bad merge reverted CASSANDRA-14993,bdeggleston,bdeggleston,Normal,Resolved,Fixed,23/Aug/19 17:35,15/May/20 08:36,,
Bug,KAFKA-8827,13252675,kafka brokers intermittent traffic,,fridMehdi,Critical,Resolved,Fixed,23/Aug/19 13:35,01/Apr/20 16:05,,
Bug,HDFS-14772,13252660,RBF: hdfs-rbf-site.xml can't be loaded automatically,John Smith,John Smith,Major,Resolved,Fixed,23/Aug/19 12:50,27/Aug/19 16:44,,
Bug,FLINK-13833,13252637,Incorrect Maven dependencies for Flink-Hive connector,,lmagics,Major,Closed,Fixed,23/Aug/19 11:06,19/Nov/19 13:38,,
Bug,HIVE-22140,13252632,Metrics: unify codahale metric frequency unit between metastore and hiveserver2,abstractdog,abstractdog,Major,Resolved,Fixed,23/Aug/19 10:12,01/Oct/19 22:07,,
Bug,FLINK-13831,13252629,Free Slots / All Slots display error,yuwang0917@gmail.com,yuwang0917@gmail.com,Critical,Resolved,Fixed,23/Aug/19 10:01,02/Oct/19 17:42,,
Bug,HBASE-22904,13252627,NPE occurs when RS send space quota usage report during HMaster init,pankaj2461,pankaj2461,Minor,Resolved,Fixed,23/Aug/19 09:51,26/Aug/19 06:08,,
Bug,FLINK-13830,13252626,The Document about Cluster on yarn have some problems,zhuzh,zhangmeng0426,Major,Closed,Fixed,23/Aug/19 09:50,26/Aug/19 02:30,,
Bug,HBASE-22903,13252610,alter_status command is broken,vjasani,vjasani,Major,Resolved,Fixed,23/Aug/19 09:10,09/Oct/19 01:05,,
Bug,FLINK-13828,13252605,Deprecate ConfigConstants.LOCAL_START_WEBSERVER,tison,tison,Major,Closed,Fixed,23/Aug/19 08:41,30/Aug/19 08:30,,
Bug,FLINK-13827,13252599,Shell variable should be escaped in start-scala-shell.sh,tison,tison,Major,Closed,Fixed,23/Aug/19 08:08,16/Oct/20 10:51,,
Bug,FLINK-13826,13252598,Support INSERT OVERWRITE for Hive connector,lirui,lirui,Major,Closed,Fixed,23/Aug/19 08:03,28/Aug/19 22:41,,
Bug,FLINK-13825,13252595,The original plugins dir is not restored after e2e test run,1u0,1u0,Minor,Closed,Fixed,23/Aug/19 07:43,23/Aug/19 08:24,,
Bug,FLINK-13823,13252589,Incorrect debug log in CompileUtils,wangsan,wangsan,Minor,Resolved,Fixed,23/Aug/19 07:35,28/Aug/19 02:28,,
Bug,HDFS-14768,13252579,EC : Busy DN replica should be consider in live replica check.,gjhkael,gjhkael,Major,Resolved,Fixed,23/Aug/19 05:15,27/Jan/21 06:35,,
Bug,HBASE-22902,13252550,At regionserver start there's a request to roll the WAL,sandeep.pal,dmanning,Minor,Resolved,Fixed,22/Aug/19 23:35,20/Nov/19 20:54,,
Bug,HBASE-22900,13252490,No longer include multiple httpcore and httpclient versions in binary package,rabikumar.kc,apurtell,Minor,Resolved,Fixed,22/Aug/19 20:35,09/Sep/19 06:25,,
Bug,FLINK-13821,13252403,Website must link to License etc,rmetzger,sebb,Major,Resolved,Fixed,22/Aug/19 14:25,08/Sep/19 13:02,,
Bug,MESOS-9952,13252383,ExampleTest.DiskFullFramework is slow,bbannier,bbannier,Major,Resolved,Fixed,22/Aug/19 13:15,23/Aug/19 11:14,,
Bug,IGNITE-12095,13252331,.NET: Remove empty tracing-related interfaces from public API,ptupitsyn,ptupitsyn,Blocker,Resolved,Fixed,22/Aug/19 09:06,22/Aug/19 09:18,,
Bug,HBASE-22896,13252314,TestHRegion.testFlushMarkersWALFail is flaky,Xiaolin Ha,Xiaolin Ha,Minor,Resolved,Fixed,22/Aug/19 08:24,06/Sep/19 09:10,,
Bug,HBASE-22893,13252291,Change the comment in HBaseClassTestRule to reflect change in default test timeouts,rabikumar.kc,sakthi,Trivial,Resolved,Fixed,22/Aug/19 07:02,14/Sep/19 17:42,,
Bug,FLINK-13814,13252251,HiveTableSink should strip quotes from partition values,lirui,lirui,Major,Closed,Fixed,22/Aug/19 02:57,30/Aug/19 22:21,,
Bug,SPARK-28844,13252247,Fix typo in SQLConf FILE_COMRESSION_FACTOR,,ZhangYao,Major,Resolved,Fixed,22/Aug/19 02:03,22/Aug/19 07:10,,
Bug,FLINK-13813,13252242,metrics is different between overview ui and metric response,,ghostmickey,Major,Closed,Fixed,22/Aug/19 01:11,04/Dec/20 07:24,,
Bug,HIVE-22134,13252186,Hive 3.1 driver includes org.glassfish.jersey.* which can interfer with an application,ngangam,the6campbells,Major,Resolved,Fixed,21/Aug/19 17:52,26/Aug/19 21:41,,
Bug,SPARK-28839,13252141,ExecutorMonitor$Tracker NullPointerException,hyukjin.kwon,yumwang,Major,Resolved,Fixed,21/Aug/19 14:13,23/Aug/19 23:17,,
Bug,MESOS-9947,13252126,Java bindings sporadically fail to build,bennoe,bennoe,Major,Resolved,Fixed,21/Aug/19 12:57,28/Aug/19 17:21,,
Bug,IGNITE-12090,13252113,.NET: logger throws KeyNotFound on creating cache with nullable 'sbyte?' field,ashapkin,Denis Zakharov,Major,Resolved,Fixed,21/Aug/19 11:49,21/Jan/21 18:49,,
Bug,CAMEL-13890,13252105,Starting from yesterday cfxEndpoint wont start,zregvart,tjuul,Blocker,Resolved,Fixed,21/Aug/19 10:53,04/Sep/19 15:43,,
Bug,HBASE-22887,13252095,HFileOutputFormat2 split a lot of HFile by roll once per rowkey,langdamao,langdamao,Major,Resolved,Fixed,21/Aug/19 10:04,10/Oct/19 02:38,,
Bug,KAFKA-8824,13252088,InMemoryTimeOrderedKeyValueBuffer propagates nulls when supress is configured ,vvcephei,faltimiras,Major,Resolved,Fixed,21/Aug/19 09:40,23/Aug/19 17:17,,
Bug,SPARK-28818,13252040,FrequentItems applies an incorrect schema to the resulting dataframe when nulls are present,mhawes,mhawes,Minor,Resolved,Fixed,21/Aug/19 07:45,03/Aug/20 00:01,,
Bug,CAMEL-13886,13252014,"camel-servlet + camel-http4 with null body causes ""Stream closed"" IOException",tadayosi,tadayosi,Major,Resolved,Fixed,21/Aug/19 06:05,13/Sep/19 09:31,,
Bug,HIVE-22129,13251969,Hive 3.1 standalone JAR includes Microsoft SQL Server JDBC driver,ngangam,the6campbells,Major,Resolved,Fixed,21/Aug/19 03:50,26/Aug/19 21:42,,
Bug,HDFS-14761,13251967,RBF: MountTableResolver cannot invalidate cache correctly,John Smith,John Smith,Major,Resolved,Fixed,21/Aug/19 03:23,23/Aug/19 17:51,,
Bug,AMQ-7279,13251950,"Security Vulnerabilities in Libraries - jackson-databind-2.9.8.jar, tomcat-servlet-api-8.0.53.jar, tomcat-websocket-api-8.0.53.jar, zookeeper-3.4.6.jar, guava-18.0.jar, jetty-all-9.2.26.v20180806.jar, scala-library-2.11.0.jar",jbonofre,vipink,Major,Resolved,Fixed,20/Aug/19 23:00,19/Nov/19 04:23,,
Bug,HDFS-14759,13251946,HDFS cat logs an info message,ebadger,ebadger,Major,Resolved,Fixed,20/Aug/19 21:57,18/Sep/19 17:37,,
Bug,FLINK-13807,13251933,Flink-avro unit tests fails if the character encoding in the environment is not default to UTF-8,tison,ethanli,Minor,Closed,Fixed,20/Aug/19 21:10,02/Oct/19 17:47,,
Bug,ZEPPELIN-4307,13251920,"""Learn More"" link on credentials screen is broken",jayjinjay,dalmoz,Trivial,Closed,Fixed,20/Aug/19 20:21,24/Dec/20 03:16,,
Bug,FLINK-13806,13251919,Metric Fetcher floods the JM log with errors when TM is lost,chesnay,sewen,Critical,Closed,Fixed,20/Aug/19 20:15,22/Aug/19 09:06,,
Bug,FLINK-13805,13251897,Bad Error Message when TaskManager is lost,trohrmann,sewen,Blocker,Resolved,Fixed,20/Aug/19 18:01,29/Aug/19 15:56,,
Bug,IGNITE-12087,13251876,Transactional putAll - significant performance drop on big batches of entries.,EdShangGG,xtern,Major,Resolved,Fixed,20/Aug/19 16:07,04/Sep/19 11:36,,
Bug,FLINK-13799,13251850,Web Job Submit Page displays stream of error message when web submit is disables in the config,chesnay,sewen,Critical,Closed,Fixed,20/Aug/19 14:44,18/Oct/19 09:48,,
Bug,HDFS-14754,13251798,Erasure Coding :  The number of Under-Replicated Blocks never reduced,hemanthboyina,hemanthboyina,Critical,Resolved,Fixed,20/Aug/19 10:11,09/Oct/19 18:35,,
Bug,SPARK-28780,13251785,Delete the incorrect setWeightCol method in LinearSVCModel,podongfeng,podongfeng,Minor,Resolved,Fixed,20/Aug/19 08:52,22/Aug/19 07:20,,
Bug,GROOVY-9231,13251779,groovy.lang.TypeChecked should be groovy.transform,paulk,summer_wu,Major,Closed,Fixed,20/Aug/19 08:24,24/Nov/19 02:45,,
Bug,CAMEL-13880,13251762,"netty4-http component is setting an invalid ""host"" HTTP header",ramu11,urken,Major,Resolved,Fixed,20/Aug/19 06:33,05/Sep/19 01:59,,
Bug,HDFS-14751,13251754,Synchronize on diffs in DirectoryScanner,leosun08,leosun08,Minor,Resolved,Fixed,20/Aug/19 04:35,13/Dec/19 03:56,,
Bug,CASSANDRA-15287,13251728,Inaccurate exception message with nodetool snapshot ,tdl-jturner,dvohra,Normal,Resolved,Fixed,20/Aug/19 00:16,29/May/21 14:37,,
Bug,SPARK-28778,13251717,Shuffle jobs fail due to incorrect advertised address when running in virtual network,anton.kirillov,anton.kirillov,Major,Resolved,Fixed,19/Aug/19 22:30,31/Aug/19 19:30,,
Bug,HIVE-22126,13251711,hive-exec packaging should shade guava,euigeun_chung,vihangk1,Major,Resolved,Fixed,19/Aug/19 21:59,09/Feb/21 00:31,,
Bug,KAFKA-8819,13251710,Plugin path for converters not working as intended,gharris1727,mageshn,Major,Resolved,Fixed,19/Aug/19 21:51,22/Oct/19 23:15,,
Bug,SPARK-28776,13251701,SparkML MLWriter gets hadoop conf from spark context instead of session,heleny,heleny,Minor,Resolved,Fixed,19/Aug/19 21:21,22/Aug/19 14:28,,
Bug,CAMEL-13878,13251699,Message is forwarded to the wrong Kafka Topic,davsclaus,kklear,Major,Resolved,Fixed,19/Aug/19 21:18,01/Oct/19 10:20,,
Bug,SPARK-28775,13251687,DateTimeUtilsSuite fails for JDKs using the tzdata2018i or newer timezone database,srowen,hvanhovell,Major,Resolved,Fixed,19/Aug/19 21:04,20/Aug/19 00:56,,
Bug,CAMEL-13877,13251685,RouteHealthCheck has NPE when JMX disabled,acosentino,pheaber,Minor,Resolved,Fixed,19/Aug/19 20:58,21/Aug/19 06:53,,
Bug,HBASE-22882,13251676,TestFlushSnapshotFromClient#testConcurrentSnapshottingAttempts is flakey (was written flakey),stack,stack,Major,Resolved,Fixed,19/Aug/19 19:51,20/Aug/19 08:35,,
Bug,FLINK-13789,13251671,Transactional Id Generation fails due to user code impacting formatting string,haodang,haodang,Major,Closed,Fixed,19/Aug/19 19:33,28/Aug/19 11:58,,
Bug,KAFKA-8817,13251649,Flaky Test KafkaProducerTest.testCloseIsForcedOnPendingAddOffsetRequest,guozhang,cpettitt-confluent,Major,Resolved,Fixed,19/Aug/19 17:35,11/Sep/19 02:01,,
Bug,SPARK-28774,13251641,ReusedExchangeExec cannot be columnar,revans2,revans2,Major,Resolved,Fixed,19/Aug/19 16:54,21/Aug/19 10:13,,
Bug,KAFKA-8816,13251640,RecordCollector offsets updated indirectly by StreamTask,cpettitt-confluent,cpettitt-confluent,Major,Resolved,Fixed,19/Aug/19 16:51,09/Sep/19 23:43,,
Bug,HDFS-14747,13251573,RBF: IsFileClosed should be return false when the file is open in multiple destination,xuzq_zander,xuzq_zander,Major,Resolved,Fixed,19/Aug/19 12:26,23/Aug/19 13:51,,
Bug,IGNITE-12084,13251570,Client node startup failed if isHandshakeWaitSupported doesn't receive disco message.,mstepachev,mstepachev,Major,Resolved,Fixed,19/Aug/19 12:12,02/Sep/19 15:49,,
Bug,FLINK-13772,13251548,GroupWindowTableAggregateITCase tests fail on Travis,,trohrmann,Critical,Closed,Fixed,19/Aug/19 10:38,23/Aug/19 03:03,,
Bug,HBASE-22881,13251533,Fix non-daemon threads in hbase server implementation,Xiaolin Ha,Xiaolin Ha,Major,Resolved,Fixed,19/Aug/19 10:01,20/Oct/19 06:10,,
Bug,FLINK-13769,13251532,BatchFineGrainedRecoveryITCase.testProgram failed on Travis,azagrebin,azagrebin,Critical,Closed,Fixed,19/Aug/19 10:01,30/Aug/19 07:27,,
